Supervisión;CURSO_NORMALIZADO;Alumno_ID
01 - Primario;1°;600
01 - Primario;2°;712
01 - Primario;3°;736
01 - Primario;4°;746
01 - Primario;5°;693
01 - Primario;6°;691
01 - Primario;7°;722
01 - Primario Privada;1°;834
01 - Primario Privada;2°;864
01 - Primario Privada;3°;945
01 - Primario Privada;4°;910
01 - Primario Privada;5°;929
01 - Primario Privada;6°;889
01 - Primario Privada;7°;970
01 - Secundario Orientado;1°;1231
01 - Secundario Orientado;2°;1141
01 - Secundario Orientado;3°;1155
01 - Secundario Orientado;4°;945
01 - Secundario Orientado;5°;844
01 - Secundario Orientado Privada;1°;1156
01 - Secundario Orientado Privada;2°;1167
01 - Secundario Orientado Privada;3°;1046
01 - Secundario Orientado Privada;4°;981
01 - Secundario Orientado Privada;5°;902
01 - Secundario Técnico;1°;1913
01 - Secundario Técnico;2°;1891
01 - Secundario Técnico;3°;1685
01 - Secundario Técnico;4°;1277
01 - Secundario Técnico;5°;1156
01 - Secundario Técnico;6°;915
02 - Primario;1°;687
02 - Primario;2°;763
02 - Primario;3°;790
02 - Primario;4°;750
02 - Primario;5°;770
02 - Primario;6°;739
02 - Primario;7°;780
02 - Primario Privada;1°;606
02 - Primario Privada;2°;652
02 - Primario Privada;3°;648
02 - Primario Privada;4°;578
02 - Primario Privada;5°;660
02 - Primario Privada;6°;590
02 - Primario Privada;7°;631
02 - Secundario Orientado;1°;731
02 - Secundario Orientado;2°;693
02 - Secundario Orientado;3°;630
02 - Secundario Orientado;4°;548
02 - Secundario Orientado;5°;490
02 - Secundario Orientado Privada;1°;728
02 - Secundario Orientado Privada;2°;660
02 - Secundario Orientado Privada;3°;634
02 - Secundario Orientado Privada;4°;632
02 - Secundario Orientado Privada;5°;530
02 - Secundario Orientado Privada;6°;16
02 - Secundario Técnico;1°;2005
02 - Secundario Técnico;2°;1905
02 - Secundario Técnico;3°;1779
02 - Secundario Técnico;4°;1249
02 - Secundario Técnico;5°;1054
02 - Secundario Técnico;6°;831
03 - Primario;1°;674
03 - Primario;2°;861
03 - Primario;3°;806
03 - Primario;4°;799
03 - Primario;5°;716
03 - Primario;6°;702
03 - Primario;7°;772
03 - Primario Privada;1°;864
03 - Primario Privada;2°;887
03 - Primario Privada;3°;903
03 - Primario Privada;4°;867
03 - Primario Privada;5°;864
03 - Primario Privada;6°;790
03 - Primario Privada;7°;823
03 - Secundario Orientado;1°;1413
03 - Secundario Orientado;2°;1369
03 - Secundario Orientado;3°;1313
03 - Secundario Orientado;4°;1085
03 - Secundario Orientado;5°;990
03 - Secundario Orientado Privada;1°;1085
03 - Secundario Orientado Privada;2°;1052
03 - Secundario Orientado Privada;3°;1044
03 - Secundario Orientado Privada;4°;973
03 - Secundario Orientado Privada;5°;962
03 - Secundario Técnico;1°;1741
03 - Secundario Técnico;2°;1640
03 - Secundario Técnico;3°;1413
03 - Secundario Técnico;4°;1235
03 - Secundario Técnico;5°;977
03 - Secundario Técnico;6°;597
